"lat","lon","nl_mean","nl_min","nl_max","nl_median","nl_sd","cluster","wealthscore","n"
14.572541,121.127625,43.0629370629371,8,63,44,19.4289408956291,197,65606.8333333333,18
14.573824,120.995283,48.1853146853147,6,63,63,21.7397024077566,721,118588.933333333,15
14.574385,121.130718,43.0629370629371,8,63,44,19.4289408956291,196,91471.7857142857,14
14.578426,121.01489,54.344,8,63,63,16.0754266309004,581,75382.1666666667,12
14.578746,121.133078,43.264,8,63,44,19.149231741906,207,97355.3125,16
14.580028,120.993161,48.42,6,63,63,21.8298366248644,576,153081.222222222,9
14.584551,120.998073,50.8545454545455,7,63,63,20.0142450928258,577,-22561.75,16
14.585174,121.097315,51.2763636363636,15,63,62,14.8278437485782,641,5772.69230769231,13
14.585247,121.037948,58.5871212121212,11,63,63,9.35729239463189,628,12866.3,10
14.587696,121.03598,58.256,11,63,63,10.0328008237719,627,28154.2,10
14.592456,121.007962,53.8327272727273,8,63,63,17.3274923376125,625,77834.5416666667,24
14.593316,120.96177,41.8825757575758,5,63,61,24.9552725250662,579,-34059,5
14.596749,121.123873,46.428,8,63,56,18.3337207699113,195,141928.875,16
14.59784,121.040386,60.3939393939394,21,63,63,6.22060549393239,626,25560,12
14.598504,121.002236,54.3484848484849,8,63,63,16.9092792256598,575,68214,13
14.59957,121.01731,56.5709090909091,10,63,63,13.9083768373894,574,100457.3,10
14.600587,120.964688,42.594696969697,5,63,62,24.7637992084943,578,-40136.5,4
14.600901,121.004916,54.3484848484849,8,63,63,16.9092792256598,572,101954.75,12
