"cluster","lat","lon","wealthscore","n"
54,14.64195,121.09971,102444,3
55,14.68454,121.09379,139829.125,8
56,14.63649,121.08524,88520.6666666667,15
57,14.6651,121.10496,136505.7,10
58,14.6175,121.09417,147984.066666667,15
59,14.59457,121.07281,158626,4
60,14.57381,121.08074,121231.5,4
61,14.64573,121.10696,140687.785714286,14
62,14.61218,121.09809,110518.636363636,11
63,14.56735,121.10447,83045.75,4
64,14.59702,121.05646,137521.5,2
65,14.55997,121.09547,67790.4,5
66,14.56181,121.06862,96521.2,5
67,14.59289,121.08562,99392,9
68,14.62594,121.03336,109633.4,10
69,14.64003,120.97794,55611,6
70,14.64335,120.97526,43730.4666666667,15
71,14.62154,120.97184,58301.4545454545,11
72,14.6553,120.96929,-34666.3333333333,3
73,14.66069,120.98909,94640.625,8
74,14.70208,121.01007,100515.181818182,11
75,14.65237,121.00179,75020.5,4
76,14.65532,121.02416,104685.875,16
77,14.70894,121.02474,94388.5,2
78,14.72439,121.02539,185833,3
79,14.73901,121.05761,166636,2
80,14.78884,121.06354,74506.2857142857,7
81,14.79044,121.05942,60688.75,4
82,0,0,57856.5238095238,56
83,14.72521,121.08611,54885.0833333333,24
84,14.73586,121.11887,49428.2,5
85,14.77952,121.06584,61623,4
86,14.80782,121.08137,63516.8260869565,23
87,14.65373,120.9593,139041.5,2
88,14.6913,120.94861,82335,11
89,14.68305,120.98413,38514.1428571429,14
90,14.65874,120.97041,118766.5,6
91,14.65235,120.96995,101446,2
92,14.67283,120.95413,13712.1666666667,6
93,14.66077,120.96222,40216,3
94,14.65061,120.94896,80739.8571428571,7
95,14.6915,120.9418,-7703,3
96,14.70251,121.01695,36332,3
97,14.66453,120.9859,99932.4,10
98,14.69033,120.96286,108271.833333333,6
99,14.68329,121.00767,137414.761904762,21
100,14.73905,120.96884,81726.25,8
101,14.66473,120.96973,44416.5,2
102,14.68449,121.02024,56192.4166666667,12
103,14.70739,120.98988,97874.7142857143,7
104,14.71991,120.97782,95730.1666666667,6
105,14.59187,121.04911,80468.5,6
106,14.55938,121.05863,99098.25,4
107,14.5722,121.05417,119544.333333333,3
108,14.55401,121.01642,134132.5,6
109,14.57088,121.02135,106573.8,5
110,14.53757,121.02602,156840.666666667,6
111,14.57387,121.01077,97613.5,10
112,14.54704,121.05339,87977.3333333333,3
113,14.52392,121.06427,84172,3
114,14.53668,121.05653,52000.2,5
115,14.59062,121.06742,125742.666666667,3
116,14.48802,121.04687,46891.4,10
117,14.48498,121.06543,72532.1739130435,23
118,14.54843,121.07866,117317.8,15
119,14.52567,121.05108,86296.9375,16
120,14.44745,120.96947,90787.4,5
121,14.41442,120.97719,128796.5,2
122,14.43337,121.01641,69890.6,5
123,14.45454,120.9879,121569.727272727,11
124,14.464,120.97978,122829.777777778,9
125,14.48092,121.00532,66216.8333333333,6
126,14.4485,121.01436,57315.8888888889,9
127,14.42233,120.97509,83139.5555555556,18
128,14.41878,121.04026,21168.16,25
129,14.47137,121.03054,123456.8,15
130,14.43272,121.04628,84537.2142857143,14
131,14.35449,121.02109,141156,8
132,14.49362,120.99657,82377.1428571429,7
133,14.52779,120.98026,70709.8,5
134,14.47988,121.01178,100586.136363636,22
135,14.48988,120.99028,170557.625,8
136,14.48977,121.01402,47334.6428571429,28
137,14.52698,120.99332,78202.5,16
138,14.5678,120.99652,61849.5333333333,15
139,14.55647,121.01144,61665.1333333333,30
140,14.53077,121.01169,88903,3
141,17.64753,120.62058,9716.09523809524,21
142,17.36986,120.69335,9664.94444444445,18
143,17.54553,120.60845,15722.65,20
144,17.26594,120.64291,-22246.2608695652,23
145,16.60712,120.74272,48442.55,20
146,16.36272,120.61374,84106.3043478261,23
147,16.42176,120.60013,41510.347826087,23
148,16.42718,120.61527,126010.7,10
149,16.41352,120.61289,30454.6666666667,9
150,16.4351,120.6101,130431.333333333,18
151,16.39477,120.57807,102151.88,25
152,16.65906,120.8091,6534.35714285714,14
153,16.81509,120.81304,24383.2608695652,23
154,16.20812,120.64392,53546.6666666667,9
155,16.60425,120.63186,-37448.3333333333,18
156,16.45335,120.59481,62893.9285714286,14
157,16.91826,120.82564,13096.5357142857,28
158,16.86756,120.77271,62297.7142857143,21
